邱子畅
3,2,0,2@,2@,547.28,1
1,3,0,2@,1!,466.71,0
2,4,0,1!,1!,552.32,1
4,1,0,2@,2@,431.45,1
4,3,0,2@,2@,542.61,1
1,4,0,1!,1!,574.27,1
3,2,0,2@,2@,466.72,1
2,1,0,1!,1!,621.10,1
2,4,0,1!,1!,557.74,1
1,2,0,2@,2@,574.16,1
3,1,0,2@,2@,568.01,1
4,3,0,1!,1!,388.30,1
1,3,0,1!,1!,782.30,1
4,1,0,1!,1!,532.96,1
3,4,0,2@,2@,506.14,1
2,2,1,2@,2@,391.61,1
3,4,0,2@,2@,521.70,1
1,2,0,1!,1!,461.99,1
2,3,0,2@,2@,585.01,1
4,1,0,1!,1!,527.61,1
2,2,1,1!,1!,553.95,1
4,1,0,2@,2@,486.60,1
1,3,0,1!,1!,589.38,1
3,4,0,2@,2@,538.75,1
4,1,0,2@,2@,431.23,1
1,3,0,1!,1!,323.38,1
3,4,0,1!,1!,696.76,1
2,2,1,2@,2@,451.97,1
4,3,0,2@,2@,493.69,1
1,2,0,2@,2@,484.33,1
2,1,0,1!,1!,505.63,1
3,4,0,1!,1!,534.21,1
3,3,1,2@,1!,650.35,0
2,4,0,blank,1!,0.00,0
4,2,0,2@,2@,465.99,1
1,1,1,2@,2@,551.94,1
2,2,1,1!,1!,618.01,1
4,4,1,2@,2@,519.82,1
3,3,1,1!,1!,570.87,1
1,1,1,2@,2@,525.90,1
2,4,0,1!,1!,693.32,1
1,3,0,2@,2@,532.45,1
3,1,0,2@,2@,551.12,1
4,2,0,1!,1!,455.66,1
1,2,0,2@,2@,477.12,1
4,3,0,1!,1!,525.40,1
3,1,0,1!,1!,509.34,1
2,4,0,2@,2@,474.30,1
4,1,0,2@,2@,488.87,1
2,4,0,1!,1!,599.76,1
1,3,0,1!,1!,576.58,1
3,2,0,2@,2@,400.21,1
4,1,0,2@,2@,495.61,1
2,2,1,2@,2@,362.93,1
1,3,0,1!,1!,430.79,1
3,4,0,1!,1!,449.44,1
3,3,1,2@,2@,515.32,1
2,4,0,2@,2@,415.74,1
1,2,0,1!,1!,458.14,1
4,1,0,2@,1!,481.07,0
1,3,0,2@,2@,625.43,1
4,4,1,1!,1!,500.15,1
2,2,1,2@,2@,554.38,1
3,1,0,1!,1!,633.87,1
